fake data, jan-sep without precip, constant t, par

&environ
press = 0.98e5
ca = 365
difsky = 0.0
/

&latlong
lathem = 's'
lat =  23 0 0
lonhem = 'e'
long =  150 0 0
tzlong = 10
/


&metformat					
dayorhr	= 1			
khrsperday = 48
startdate = '15/01/00'
enddate = '15/09/00'
nocolumns = 8
columns = 'DATE' 'TIME' 'WIND' 'TAIR' 'RH' 'VPD' 'PAR' 'PPT'
/

DATA STARTS
10 0.3 4 20 0.7 500 0 0
10 1 4 20 0.7 500 0 0
10 1.3 4 20 0.7 500 0 0
10 2 4 20 0.7 500 0 0
10 2.3 4 20 0.7 500 0 0
10 3 4 20 0.7 500 0 0
10 3.3 4 20 0.7 500 0 0
10 4 4 20 0.7 500 0 0
10 4.3 4 20 0.7 500 0 0
10 5 4 20 0.7 500 0 0
10 5.3 4 20 0.7 500 0 0
10 6 4 20 0.7 500 0 0
10 6.3 4 20 0.7 500 0 0
10 7 4 20 0.7 500 0 0
10 7.3 4 20 0.7 500 268.276079117114 0
10 8 4 20 0.7 500 530.559313939627 0
10 8.3 4 20 0.7 500 780.990730411605 0
10 9 4 20 0.7 500 1013.97610451452 0
10 9.3 4 20 0.7 500 1224.31092798766 0
10 10 4 20 0.7 500 1407.29666844245 0
10 10.3 4 20 0.7 500 1558.84572681199 0
10 11 4 20 0.7 500 1675.57274755957 0
10 11.3 4 20 0.7 500 1754.87024192728 0
10 12 4 20 0.7 500 1794.96683492612 0
10 12.3 4 20 0.7 500 1794.96683492612 0
10 13 4 20 0.7 500 1754.87024192728 0
10 13.3 4 20 0.7 500 1675.57274755957 0
10 14 4 20 0.7 500 1558.84572681199 0
10 14.3 4 20 0.7 500 1407.29666844245 0
10 15 4 20 0.7 500 1224.31092798766 0
10 15.3 4 20 0.7 500 1013.97610451452 0
10 16 4 20 0.7 500 780.990730411605 0
10 16.3 4 20 0.7 500 530.559313939627 0
10 17 4 20 0.7 500 268.276079117114 0
10 17.3 4 20 0.7 500 1.10214571844014e-13 0
10 18 4 20 0.7 500 0 0
10 18.3 4 20 0.7 500 0 0
10 19 4 20 0.7 500 0 0
10 19.3 4 20 0.7 500 0 0
10 20 4 20 0.7 500 0 0
10 20.3 4 20 0.7 500 0 0
10 21 4 20 0.7 500 0 0
10 21.3 4 20 0.7 500 0 0
10 22 4 20 0.7 500 0 0
10 22.3 4 20 0.7 500 0 0
10 23 4 20 0.7 500 0 0
10 23.3 4 20 0.7 500 0 0
10 23.59 4 20 0.7 500 0 0
11 0.3 4 20 0.7 500 0 0
11 1 4 20 0.7 500 0 0
11 1.3 4 20 0.7 500 0 0
11 2 4 20 0.7 500 0 0
11 2.3 4 20 0.7 500 0 0
11 3 4 20 0.7 500 0 0
11 3.3 4 20 0.7 500 0 0
11 4 4 20 0.7 500 0 0
11 4.3 4 20 0.7 500 0 0
11 5 4 20 0.7 500 0 0
11 5.3 4 20 0.7 500 0 0
11 6 4 20 0.7 500 0 0
11 6.3 4 20 0.7 500 0 0
11 7 4 20 0.7 500 0 0
11 7.3 4 20 0.7 500 268.276079117114 0
11 8 4 20 0.7 500 530.559313939627 0
11 8.3 4 20 0.7 500 780.990730411605 0
11 9 4 20 0.7 500 1013.97610451452 0
11 9.3 4 20 0.7 500 1224.31092798766 0
11 10 4 20 0.7 500 1407.29666844245 0
11 10.3 4 20 0.7 500 1558.84572681199 0
11 11 4 20 0.7 500 1675.57274755957 0
11 11.3 4 20 0.7 500 1754.87024192728 0
